| time |   in   |load |shift|  out   |
| 0+   |      0 |  0  |  0  |      0 |
| 1    |      0 |  0  |  0  |      0 |
| 1+   |      0 |  0  |  1  |      0 |
| 2    |      0 |  0  |  1  |      0 |
| 2+   |    255 |  0  |  1  |      0 |
| 3    |    255 |  0  |  1  |      0 |
| 3+   |    255 |  1  |  1  |      0 |
| 4    |    255 |  1  |  1  |    255 |
| 4+   |    255 |  0  |  1  |    255 |
| 5    |    255 |  0  |  1  |    254 |
| 5+   |    255 |  0  |  1  |    254 |
| 6    |    255 |  0  |  1  |    252 |
| 6+   |     50 |  1  |  0  |    252 |
| 7    |     50 |  1  |  0  |     50 |
| 7+   |     50 |  1  |  0  |     50 |
| 8    |     50 |  1  |  0  |     50 |
| 8+   |     50 |  1  |  1  |     50 |
| 9    |     50 |  1  |  1  |     50 |
| 9+   |     50 |  1  |  1  |     50 |
| 10   |     50 |  1  |  1  |     50 |
| 10+  |     50 |  0  |  1  |     50 |
| 11   |     50 |  0  |  1  |    100 |
| 11+  |     50 |  0  |  1  |    100 |
| 12   |     50 |  0  |  1  |    200 |
| 12+  |      0 |  1  |  1  |    200 |
| 13   |      0 |  1  |  1  |      0 |
| 13+  |      0 |  0  |  1  |      0 |
| 14   |      0 |  0  |  1  |      0 |
