| time |   in   |reset|load | inc |  out   |
| 0+   |      0 |  0  |  0  |  0  |      0 |
| 1    |      0 |  0  |  0  |  0  |      0 |
| 1+   |      0 |  0  |  0  |  1  |      0 |
| 2    |      0 |  0  |  0  |  1  |      1 |
| 2+   |    255 |  0  |  0  |  1  |      1 |
| 3    |    255 |  0  |  0  |  1  |      2 |
| 3+   |    255 |  0  |  1  |  1  |      2 |
| 4    |    255 |  0  |  1  |  1  |    255 |
| 4+   |    255 |  0  |  0  |  1  |    255 |
| 5    |    255 |  0  |  0  |  1  |      0 |
| 5+   |    255 |  0  |  0  |  1  |      0 |
| 6    |    255 |  0  |  0  |  1  |      1 |
| 6+   |     50 |  0  |  1  |  0  |      1 |
| 7    |     50 |  0  |  1  |  0  |     50 |
| 7+   |     50 |  1  |  1  |  0  |     50 |
| 8    |     50 |  1  |  1  |  0  |      0 |
| 8+   |     50 |  0  |  1  |  1  |      0 |
| 9    |     50 |  0  |  1  |  1  |     50 |
| 9+   |     50 |  1  |  1  |  1  |     50 |
| 10   |     50 |  1  |  1  |  1  |      0 |
| 10+  |     50 |  0  |  0  |  1  |      0 |
| 11   |     50 |  0  |  0  |  1  |      1 |
| 11+  |     50 |  1  |  0  |  1  |      1 |
| 12   |     50 |  1  |  0  |  1  |      0 |
| 12+  |      0 |  0  |  1  |  1  |      0 |
| 13   |      0 |  0  |  1  |  1  |      0 |
| 13+  |      0 |  0  |  0  |  1  |      0 |
| 14   |      0 |  0  |  0  |  1  |      1 |
